Model,Accuracy,Precision,Recall,F1-Score
RandomForest,1.0,1.0,1.0,1.0
GradientBoosting,1.0,1.0,1.0,1.0
SVM,0.9853658536585366,0.9722222222222222,1.0,0.9859154929577465
LogisticRegression,0.8097560975609757,0.7619047619047619,0.9142857142857143,0.8311688311688312
